time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T17:36:59.757Z,61.5591,-146.4719,19.2,1.2,ml,,,,0.69,ak,ak0239dnz0be,2023-07-29T16:11:56.272Z,"48 km N of Valdez, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-07-23T17:34:12.404Z,59.6466,-152.6636,79.4,1.8,ml,,,,0.41,ak,ak0239dnyh9v,2023-07-29T16:11:55.807Z,"49 km WSW of Anchor Point, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T17:27:59.114Z,63.1441,-148.8317,72.5,0.9,ml,,,,0.63,ak,ak0239dnx2xa,2023-07-29T16:11:56.071Z,"28 km SSE of Cantwell, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T17:26:23.290Z,45.8471666666667,-111.305666666667,13.41,0.96,ml,9,103,0.1644,0.11,mb,mb90022453,2023-07-25T22:08:14.490Z,"2 km ESE of Manhattan, Montana",earthquake,0.6,1.73,0.109122093879185,6,reviewed,mb,mb
2023-07-23T17:23:51.790Z,46.455666666666666,-121.30133333333333,8.25,1.68,ml,42,103,0.173,0.17,uw,uw61943146,2023-07-23T17:47:10.990Z,"32 km ESE of Packwood, Washington",earthquake,0.32,0.54,0.1246800649376687,31,reviewed,uw,uw
2023-07-23T17:20:48.499Z,68.9364,-144.2418,9.9,1.5,ml,,,,0.57,ak,ak0239dnvk1t,2023-07-30T23:53:48.725Z,"104 km NNE of Arctic Village, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2023-07-23T17:20:11.230Z,58.2291666666667,-155.181,3.87,0.29,ml,11,80,,0.13,av,av91974771,2023-07-29T16:10:15.123Z,"85 km NNW of Karluk, Alaska",earthquake,0.25,0.63,0.228270490408632,11,reviewed,av,av
2023-07-23T17:19:59.960Z,34.1018333,-116.6398333,5.11,1.15,ml,45,36,0.06351,0.12,ci,ci39619906,2023-07-24T20:09:54.333Z,"8km NW of Morongo Valley, CA",earthquake,0.13,0.39,0.142,26,reviewed,ci,ci
2023-07-23T17:18:20.080Z,58.1683333333333,-155.381166666667,1.76,0.01,ml,10,75,,0.09,av,av91974766,2023-07-29T16:10:12.944Z,"Alaska Peninsula",earthquake,0.2,0.41,0.233718976326483,12,reviewed,av,av
2023-07-23T17:12:45.760Z,49.43233333333333,-120.54816666666666,-0.37,2.06,ml,7,193,0.5716,0.48,uw,uw61943136,2023-07-23T22:32:21.170Z,"British Columbia, Canada",explosion,2.29,31.61,0.10952971436347858,5,reviewed,uw,uw
2023-07-23T17:11:27.825Z,60.0791,-150.5913,41.5,1,ml,,,,0.26,ak,ak0239dntml8,2024-01-18T20:32:47.456Z,"32 km NE of Fox River, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2023-07-23T17:09:46.360Z,38.7928352,-122.7464981,1.06,0.93,md,10,91,0.01226,0.03,nc,nc73915826,2023-07-23T17:43:12.856Z,"2 km NNE of The Geysers, CA",earthquake,0.29,1.54,0.22,10,automatic,nc,nc
2023-07-23T17:06:05.501Z,63.0775,-151.4906,1.7,1.3,ml,,,,0.62,ak,ak0239dnsgqw,2023-07-29T16:11:55.401Z,"52 km SSE of Denali National Park, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T17:03:34.400Z,56.8986666666667,-158.060333333333,3.2,0.82,ml,6,253,,0.14,av,av91974751,2023-07-27T04:01:22.310Z,"Alaska Peninsula",earthquake,0.82,1.23,0.487571271268451,6,reviewed,av,av
2023-07-23T17:02:50.198Z,62.0604,-149.6658,39.9,1.1,ml,,,,0.48,ak,ak0239dnrpa1,2023-07-29T16:11:55.180Z,"14 km SE of Susitna North, Alaska",earthquake,,0.6,,,reviewed,ak,ak
